,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCAO,VOTOS_BRANCOS,VOTOS_NULOS,PCT_ABSTENCAO,PCT_BRANCOS,PCT_NULOS
159,PB,21172,PATOS,133960,110646,23314,18690,19803,17.403702597790385,16.89170869258717,17.89761943495472
160,PB,21199,PAULISTA,19820,16298,3522,1434,2126,17.769929364278507,8.798625598232912,13.044545342986869
161,PB,21210,PEDRA BRANCA,7884,5998,1886,522,740,23.921867072552004,8.702900966988997,12.337445815271757
162,PB,21237,PEDRA LAVRADA,11902,10140,1762,1157,1879,14.804234582423122,11.41025641025641,18.530571992110453
163,PB,21253,PEDRAS DE FOGO,47432,39119,8313,7184,6628,17.526142688480352,18.36447761957105,16.943173394002915
164,PB,21270,PIANCÓ,25430,20221,5209,2221,3223,20.483680692095948,10.983630878789377,15.93887542653677
165,PB,21296,PICUÍ,29576,24750,4826,2684,4185,16.317284284555043,10.844444444444443,16.90909090909091
166,PB,21318,PILAR,19778,16793,2985,2640,3236,15.092527050257862,15.72083606264515,19.269933901030193
167,PB,21334,PILÕES,13886,10884,3002,2166,2017,21.61889673051995,19.90077177508269,18.531789783167955
168,PB,21350,PILÕEZINHOS,10528,8616,1912,1624,1749,18.161094224924014,18.848653667595173,20.299442896935933
169,PB,21377,PIRPIRITUBA,15402,12488,2914,2411,2538,18.919620828463835,19.306534272901985,20.32351057014734
170,PB,21393,PITIMBU,24086,19776,4310,2952,3172,17.894212405546792,14.927184466019416,16.039644012944983
171,PB,21415,POCINHOS,28110,23378,4732,3716,5258,16.833866951262895,15.895286166481307,22.491231071947983
172,PB,21431,POMBAL,50328,40469,9859,3340,5314,19.589492926402798,8.253230868071858,13.131038572734685
173,PB,21458,PRATA,8074,6654,1420,806,1033,17.58731731483775,12.113014727983169,15.524496543432523
174,PB,21474,PRINCESA ISABEL,32274,25525,6749,3527,4391,20.91156968457582,13.817825661116553,17.202742409402546
175,PB,21490,PUXINANÃ,24032,20786,3246,3696,4727,13.50699067909454,17.78119888386414,22.741268161262386
176,PB,21512,QUEIMADAS,69490,58611,10879,12355,14097,15.655489998560945,21.07966081452287,24.05179915033014
177,PB,21539,QUIXABA,4576,3890,686,467,650,14.991258741258742,12.005141388174808,16.709511568123396
178,PB,21555,REMÍGIO,28414,22866,5548,2902,3904,19.525585978742875,12.691332108807837,17.073384063675327
179,PB,21571,RIACHO DOS CAVALOS,15274,13018,2256,2055,1789,14.770197721618436,15.785834997695499,13.742510370256566
180,PB,21598,RIO TINTO,36402,31517,4885,4547,5513,13.419592330091753,14.427134562299711,17.492147095218456
181,PB,21610,SALGADINHO,6566,4986,1580,464,717,24.063356685957967,9.306056959486563,14.380264741275573
182,PB,21636,SALGADO DE SÃO FÉLIX,19360,15650,3710,1873,2874,19.163223140495866,11.968051118210862,18.364217252396166
183,PB,21652,SANTA CRUZ,11178,9292,1886,963,1019,16.872427983539097,10.363753766681016,10.966422729229444
184,PB,21679,SANTA HELENA,11178,9324,1854,1037,1532,16.586151368760063,11.121836121836122,16.43071643071643
185,PB,21695,SANTA LUZIA,23638,19949,3689,3928,3711,15.60622726118961,19.69021003559076,18.60243621234147
186,PB,21717,SANTANA DE MANGUEIRA,8926,6993,1933,570,1118,21.655836881021735,8.151008151008151,15.987415987415988
187,PB,21733,SANTANA DOS GARROTES,12564,9479,3085,1017,1674,24.554282075772047,10.728979850195168,17.660090726869925
188,PB,21750,SANTA RITA,196788,165962,30826,34030,39412,15.664573043071734,20.50469384557911,23.747604873404754
189,PB,21776,SANTA TERESINHA,11136,9237,1899,1466,1423,17.052801724137932,15.870953772869981,15.405434664934504
190,PB,21792,SÃO BENTO,54092,44617,9475,3996,5466,17.516453449678327,8.956227446937266,12.250935741981756
191,PB,21814,SÃO JOÃO DO CARIRI,8422,6975,1447,626,859,17.18119211588696,8.974910394265233,12.315412186379929
192,PB,21830,SÃO JOÃO DO TIGRE,7748,6470,1278,564,1126,16.4945792462571,8.717156105100464,17.40340030911901
193,PB,21857,SÃO JOSÉ DA LAGOA TAPADA,13206,10939,2267,1749,1820,17.166439497198244,15.988664411737819,16.63771825578206
194,PB,21873,SÃO JOSÉ DE CAIANA,10680,7900,2780,697,1105,26.02996254681648,8.822784810126583,13.987341772151899
195,PB,21890,SÃO JOSÉ DE ESPINHARAS,8680,7056,1624,720,1035,18.70967741935484,10.204081632653061,14.668367346938776
196,PB,21911,SÃO JOSÉ DE PIRANHAS,30276,24492,5784,3193,4046,19.104240982956796,13.036910011432305,16.519679895476074
197,PB,21938,SÃO JOSÉ DO BONFIM,8082,6714,1368,820,1018,16.926503340757236,12.213285671730711,15.162347333929102
198,PB,21954,SÃO JOSÉ DO SABUGI,8148,7305,843,353,932,10.346097201767304,4.832306639288158,12.75838466803559
199,PB,21970,SÃO JOSÉ DOS CORDEIROS,6928,5578,1350,693,810,19.486143187066972,12.423807816421656,14.521333811401938
200,PB,21997,SÃO MAMEDE,14038,11183,2855,1719,1747,20.337654936600654,15.371546096754003,15.621926137887865
201,PB,22012,SÃO MIGUEL DE TAIPU,12180,10294,1886,1512,1677,15.48440065681445,14.688167864775597,16.291043326209444
202,PB,22039,SÃO SEBASTIÃO DE LAGOA DE ROÇA,17558,14144,3414,2512,3608,19.44412803280556,17.760180995475114,25.509049773755656
